workload_profile,workload_label,context_budget_label,context_budget_tokens,input_sequence_length,output_sequence_length,node_count,experiment,coverage_status,coverage,raw_script_shape,selection_source,feasibility_source,feasible,feasible_status,feasible_detail,top_rank_node_local
practical_32k_8k,Practical RL 32K/8K,40K,40960,32768,8192,512,disagg,candidate,1,cross_node,direct_aic,node_local_disagg_manifest,0,not_node_local_or_no_results,cross_node,0
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,1,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,1,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,2,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,2,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,4,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,4,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,8,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,8,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,16,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,16,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,32,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,32,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,64,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,64,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,128,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,128,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,256,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,256,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,512,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
practical_64k_8k,Practical RL 64K/8K,72K,73728,65536,8192,512,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,1,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,1,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,2,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,2,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,4,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,4,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,8,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,8,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,16,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,16,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,32,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,32,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,64,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,64,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,128,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,128,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,256,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,256,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,512,agg,candidate,1,node_local,top_ranked_agg,agg_launchable_manifest,1,candidate,first_generator_valid_agg,1
stress_128k_16k,Stress RL 128K/16K,128K,131072,114688,16384,512,disagg,candidate,1,node_local,direct_aic,node_local_disagg_manifest,1,candidate,node_local,1
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,1,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,1,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,2,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,2,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,4,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,4,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,8,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,8,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,16,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,16,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,32,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,32,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,64,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,64,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,128,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,128,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,256,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,256,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,512,agg,no_results,0,no_results,no_results,agg_launchable_manifest,0,no_results,no_results,0
stress_256k_32k,Stress RL 256K/32K,256K,262144,229376,32768,512,disagg,no_results,0,no_results,no_results,node_local_disagg_manifest,0,not_node_local_or_no_results,no_results,0
